instance,solver,gpu,outcome,probe_iters,mem_gb,vram_gb,time_wall,status,detail
grid6,copt-gpu,gpu,ok,3,0.53,0.307,3.044,Status: IterLimit,
grid6,cuopt,gpu,ok,3,0.89,0.662,2.171,,
grid6,highs,cpu,ok,3,0.684,,11.781,Model status        : Iteration limit reached,
grid6,mosek,cpu,ok,3,0.545,,1.961,Interior-point solution summary,
grid7,copt-cpu,cpu,ok,3,0.806,,4.819,Status: IterLimit,
grid7,copt-gpu,gpu,ok,3,0.953,0.486,4.222,Status: IterLimit,
grid7,cuopt,gpu,ok,3,1.168,1.6,6.467,,
grid7,highs,cpu,ok,3,3.26,,68.433,Model status        : Iteration limit reached,
grid7,mosek,cpu,ok,3,1.848,,7.056,Interior-point solution summary,
grid8,copt-cpu,cpu,ok,3,1.61,,12.900,Status: IterLimit,
grid8,copt-gpu,gpu,ok,3,1.512,0.861,10.492,Status: IterLimit,
grid8,cuopt,gpu,ok,3,1.751,3.631,23.358,,
grid8,highs,cpu,ok,3,10.194,,138.912,Model status        : Iteration limit reached,
grid8,mosek,cpu,ok,3,1.821,,30.765,Interior-point solution summary,
grid9,copt-cpu,cpu,ok,3,2.14,,17.576,Status: IterLimit,
grid9,copt-gpu,gpu,ok,3,1.965,1.107,13.578,Status: IterLimit,
grid9,cuopt,gpu,ok,3,2.085,3.787,23.279,,
grid9,highs,cpu,ok,3,13.749,,182.363,Model status        : Iteration limit reached,
grid9,mosek,cpu,ok,3,2.726,,16.608,Interior-point solution summary,
planar100,copt-cpu,cpu,ok,3,0.145,,1.055,Status: IterLimit,
planar100,copt-gpu,gpu,ok,3,0.472,0.268,1.453,Status: IterLimit,
planar100,cuopt,gpu,ok,3,0.665,0.475,1.242,,
planar100,highs,cpu,ok,3,0.261,,3.607,Model status        : Iteration limit reached,
planar100,mosek,cpu,ok,3,0.236,,0.811,Interior-point solution summary,
planar1000,copt-cpu,cpu,ok,3,8.039,,90.607,Status: IterLimit,
planar1000,copt-gpu,gpu,ok,3,6.732,3.502,79.874,Status: IterLimit,
planar1000,cuopt,gpu,ok,3,7.16,10.1,70.412,,
planar1000,highs,cpu,ok,3,36.382,,1276.972,Model status        : Iteration limit reached,
planar1000,mosek,cpu,ok,3,24.313,,114.008,Interior-point solution summary,
planar150,copt-cpu,cpu,ok,3,0.262,,1.793,Status: IterLimit,
planar150,copt-gpu,gpu,ok,3,0.57,0.305,2.068,Status: IterLimit,
planar150,cuopt,gpu,ok,3,0.74,0.6,1.766,,
planar150,highs,cpu,ok,3,0.759,,17.145,Model status        : Iteration limit reached,
planar150,mosek,cpu,ok,3,0.529,,2.166,Interior-point solution summary,
planar2500,copt-cpu,cpu,ok,3,54.25,,937.280,Status: IterLimit,
planar2500,copt-gpu,gpu,error,3,40.54,0.244,442.720,,"peak at failure, not at completion (rc=0)"
planar2500,cuopt,gpu,ok,3,16.671,14.723,128.400,,
planar2500,highs,cpu,error,3,41.281,,2745.349,Model status        : Not Set,"peak at failure, not at completion (rc=255)"
planar2500,mosek,cpu,error,3,104.793,,261.855,,"peak at failure, not at completion (rc=137)"
planar30,copt-cpu,cpu,ok,3,0.022,,0.615,Status: IterLimit,
planar30,copt-gpu,gpu,ok,3,0.419,0.219,1.084,Status: IterLimit,
planar30,cuopt,gpu,ok,3,0.602,0.41,0.746,,
planar30,highs,cpu,ok,3,0.023,,0.189,Model status        : Iteration limit reached,
planar30,mosek,cpu,ok,3,0.025,,0.075,Interior-point solution summary,
planar300,copt-cpu,cpu,ok,3,0.971,,5.948,Status: IterLimit,
planar300,copt-gpu,gpu,ok,3,1.149,0.488,5.368,Status: IterLimit,
planar300,cuopt,gpu,ok,3,1.289,1.381,6.089,,
planar300,highs,cpu,ok,3,2.045,,62.074,Model status        : Iteration limit reached,
planar300,mosek,cpu,ok,3,2.351,,10.537,Interior-point solution summary,
planar50,copt-cpu,cpu,ok,3,0.04,,0.698,Status: IterLimit,
planar50,copt-gpu,gpu,ok,3,0.434,0.248,1.167,Status: IterLimit,
planar50,cuopt,gpu,ok,3,0.612,0.41,0.816,,
planar50,highs,cpu,ok,3,0.05,,0.525,Model status        : Iteration limit reached,
planar50,mosek,cpu,ok,3,0.041,,0.173,Interior-point solution summary,
planar500,copt-cpu,cpu,ok,3,2.237,,19.820,Status: IterLimit,
planar500,copt-gpu,gpu,ok,3,2.145,1.047,17.129,Status: IterLimit,
planar500,cuopt,gpu,ok,3,2.307,3.506,18.760,,
planar500,highs,cpu,ok,3,9.649,,214.564,Model status        : Iteration limit reached,
planar500,mosek,cpu,ok,3,2.851,,20.333,Interior-point solution summary,
planar80,copt-cpu,cpu,ok,3,0.104,,0.901,Status: IterLimit,
planar80,copt-gpu,gpu,ok,3,0.453,0.264,1.301,Status: IterLimit,
planar80,cuopt,gpu,ok,3,0.645,0.443,1.104,,
planar80,highs,cpu,ok,3,0.169,,2.225,Model status        : Iteration limit reached,
planar80,mosek,cpu,ok,3,0.104,,0.488,Interior-point solution summary,
planar800,copt-cpu,cpu,ok,3,5.438,,59.514,Status: IterLimit,
planar800,copt-gpu,gpu,ok,3,4.595,2.441,49.597,Status: IterLimit,
planar800,cuopt,gpu,ok,3,4.993,6.881,43.835,,
planar800,highs,cpu,ok,3,31.351,,667.011,Model status        : Iteration limit reached,
planar800,mosek,cpu,ok,3,6.545,,55.046,Interior-point solution summary,
