family,instance,formulation,solver,iteration,ub,lb,lp_obj,n_col,n_row,n_slk,added_col,removed_col,added_cut,removed_cut,col_committed,t_lp,t_pricing,t_separation,t_iter,t_acc
grid,grid10,path,highs,5,inf,162210000.0,823710000.0,6945,2339,610,1492,0,19,0,True,0.863,0.002,0.0,0.867,1.46
grid,grid10,path,highs,6,inf,162210000.0,687460000.0,8432,2394,336,1487,0,55,0,True,1.353,0.002,0.001,1.357,2.818
grid,grid10,path,highs,7,inf,162210000.0,239490000.0,9937,2464,148,1505,0,70,0,True,1.887,0.002,0.001,1.891,4.709
grid,grid10,path,highs,8,inf,162860000.0,164520000.0,11323,2495,0,1386,0,31,0,True,2.94,0.002,0.001,2.944,7.652
grid,grid10,path,highs,9,inf,163740000.0,164320000.0,12225,2451,0,1120,218,26,70,True,2.932,0.002,0.001,2.936,10.589
grid,grid10,path,highs,10,inf,163900000.0,164220000.0,12791,2479,0,1023,457,28,0,True,2.74,0.002,0.001,2.745,13.334
grid,grid10,path,highs,11,inf,163990000.0,164160000.0,12784,2486,0,814,821,11,4,True,3.021,0.002,0.001,3.027,16.36
grid,grid10,path,highs,12,inf,164050000.0,164140000.0,12438,2480,0,727,1073,4,10,True,3.416,0.002,0.001,3.421,19.782
grid,grid10,path,highs,13,inf,164070000.0,164120000.0,11384,2458,0,536,1590,9,31,True,3.03,0.002,0.001,3.035,22.817
grid,grid10,path,highs,14,inf,164100000.0,164110000.0,10421,2445,0,387,1350,6,19,True,2.668,0.002,0.001,2.673,25.49
grid,grid10,path,highs,15,inf,164110000.0,164110000.0,9710,2445,0,222,933,8,8,True,2.28,0.003,0.001,2.286,27.775
grid,grid10,path,highs,16,164110000.0,164110000.0,164110000.0,9710,2445,0,37,0,0,0,False,2.164,0.003,0.001,2.168,29.943
grid,grid10,path,mosek,1,inf,162210000.0,11189000.0,4000,2000,1987,0,0,0,0,True,0.009,0.004,0.0,0.014,0.014
grid,grid10,path,mosek,2,inf,162210000.0,99736000.0,4000,2000,1410,0,0,0,0,True,0.002,0.004,0.0,0.006,0.019
grid,grid10,path,mosek,3,inf,162210000.0,162210000.0,4000,2320,0,0,0,320,0,True,0.001,0.004,0.001,0.006,0.025
grid,grid10,path,mosek,4,inf,162210000.0,393730000.0,5453,2320,768,1453,0,0,0,True,0.138,0.002,0.0,0.143,0.168
grid,grid10,path,mosek,5,inf,162210000.0,842370000.0,6941,2337,674,1488,0,17,0,True,0.164,0.002,0.001,0.169,0.338
grid,grid10,path,mosek,6,inf,162210000.0,702520000.0,8444,2390,343,1503,0,53,0,True,0.242,0.002,0.001,0.248,0.586
grid,grid10,path,mosek,7,inf,162210000.0,214600000.0,9969,2454,115,1525,0,64,0,True,0.311,0.002,0.001,0.318,0.904
grid,grid10,path,mosek,8,inf,162620000.0,164540000.0,11315,2500,0,1346,0,46,0,True,0.363,0.002,0.001,0.369,1.273
grid,grid10,path,mosek,9,inf,163690000.0,164320000.0,12498,2504,0,1184,1,27,23,True,0.361,0.002,0.001,0.368,1.641
grid,grid10,path,mosek,10,inf,163900000.0,164230000.0,13570,2509,0,1079,7,5,0,True,0.389,0.002,0.001,0.396,2.036
grid,grid10,path,mosek,11,inf,163970000.0,164170000.0,14409,2499,0,878,39,2,12,True,0.388,0.002,0.001,0.395,2.432
grid,grid10,path,mosek,12,inf,164030000.0,164130000.0,15005,2479,0,735,139,5,25,True,0.403,0.002,0.001,0.411,2.843
grid,grid10,path,mosek,13,inf,164080000.0,164120000.0,15372,2461,0,594,227,2,20,True,0.389,0.002,0.002,0.397,3.24
grid,grid10,path,mosek,14,inf,164090000.0,164110000.0,15803,2452,0,431,0,2,11,True,0.395,0.002,0.002,0.401,3.641
grid,grid10,path,mosek,15,inf,164100000.0,164110000.0,16085,2445,0,282,0,1,8,True,0.342,0.002,0.002,0.349,3.99
grid,grid10,path,mosek,16,164110000.0,164110000.0,164110000.0,16085,2445,0,98,0,0,0,False,0.337,0.002,0.0,0.339,4.329
grid,grid10,tree,copt-cpu,1,inf,162210000.0,59300.0,1186,593,593,0,0,0,0,True,0.007,0.004,0.0,0.011,0.011
grid,grid10,tree,copt-cpu,2,inf,162210000.0,593000.0,1186,593,593,0,0,0,0,True,0.008,0.003,0.0,0.011,0.022
grid,grid10,tree,copt-cpu,3,inf,162210000.0,5921600.0,1186,593,590,0,0,0,0,True,0.005,0.003,0.0,0.009,0.03
grid,grid10,tree,copt-cpu,4,inf,162210000.0,55288000.0,1186,593,495,0,0,0,0,True,0.005,0.003,0.0,0.009,0.039
grid,grid10,tree,copt-cpu,5,inf,162210000.0,162180000.0,1186,910,1,0,0,317,0,True,0.005,0.003,0.0,0.009,0.048
grid,grid10,tree,copt-cpu,6,inf,162210000.0,280390000.0,1706,910,271,520,0,0,0,True,0.061,0.002,0.0,0.064,0.112
grid,grid10,tree,copt-cpu,7,inf,162210000.0,763870000.0,2250,913,299,544,0,3,0,True,0.08,0.002,0.0,0.084,0.196
grid,grid10,tree,copt-cpu,8,inf,162210000.0,1370500000.0,2798,924,201,548,0,11,0,True,0.068,0.002,0.0,0.071,0.267
grid,grid10,tree,copt-cpu,9,inf,162210000.0,1303600000.0,3359,965,158,561,0,41,0,True,0.083,0.002,0.0,0.087,0.354
grid,grid10,tree,copt-cpu,10,inf,162210000.0,982120000.0,3923,1010,105,564,0,45,0,True,0.145,0.002,0.0,0.149,0.503
grid,grid10,tree,copt-cpu,11,inf,162210000.0,165110000.0,4393,986,0,557,87,60,84,True,0.261,0.002,0.001,0.267,0.77
grid,grid10,tree,copt-cpu,12,inf,162850000.0,164630000.0,4669,1017,0,539,263,33,2,True,0.229,0.002,0.001,0.236,1.006
grid,grid10,tree,copt-cpu,13,inf,163350000.0,164490000.0,4925,1033,0,532,276,17,1,True,0.228,0.002,0.001,0.235,1.241
grid,grid10,tree,copt-cpu,14,inf,163550000.0,164390000.0,5140,1046,0,524,309,13,0,True,0.23,0.002,0.001,0.236,1.477
grid,grid10,tree,copt-cpu,15,inf,163740000.0,164320000.0,5264,1050,0,510,386,13,9,True,0.219,0.002,0.001,0.224,1.701
grid,grid10,tree,copt-cpu,16,inf,163810000.0,164260000.0,5320,1051,0,506,450,9,8,True,0.221,0.002,0.001,0.23,1.932
grid,grid10,tree,copt-cpu,17,inf,163880000.0,164220000.0,5138,1039,0,493,675,7,19,True,0.236,0.002,0.001,0.246,2.178
grid,grid10,tree,copt-cpu,18,inf,163970000.0,164180000.0,5044,1029,0,475,569,7,17,True,0.215,0.002,0.001,0.223,2.401
