sweep,family,instance,formulation,solver,per_source,reps_off,reps_on,t_tot_off,t_tot_on,d_t_tot_pct,t_pr_off,t_pr_on,d_t_pr_pct,t_lp_off,t_lp_on,d_t_lp_pct,per_price_us_off,per_price_us_on,d_per_price_pct,iters_off,iters_on,cols_off,cols_on,priced_off,priced_on,traj_moved,traj_stable,pricing_share_pct,cut_rate_pct,pred_wall_pct,obj_off,obj_on,d_obj_rel,lb_delta,exit_off,exit_on,spread_off_pct
intermodal_path_tree,intermodal,BUS-2632-0,tree,copt-gpu,1.0,1,1,3.327,2.518,-24.316200781484827,0.636,0.517,-18.710691823899367,1.633,1.216,-25.535823637477037,38.91812507649003,37.875457875457876,-2.6791300942244396,32,24,3243,3237,16342,13650,1,,19.116321009918845,76.25641025641026,-0.512151109085285,71026.5,71026.500108,1.5205591280172324e-09,0.9728219999960857,gap,gap,
intermodal_path_tree,intermodal,BUS-2632-0,tree,cuopt,1.0,1,1,3.546,3.007,-15.20022560631697,0.48,0.386,-19.58333333333333,2.421,2.077,-14.209004543577029,35.216434336023475,35.15802896438655,-0.16584691987734484,21,17,3195,3185,13630,10979,1,,13.536379018612521,70.95363876491484,-0.022449667665292026,71026.504325,71026.505234,1.2798039316470677e-08,1.1635959999985062,gap,gap,
intermodal_path_tree,intermodal,BUS-2632-0,tree,highs,1.0,3,1,2.727,2.609,-4.327099376604323,0.454,0.424,-6.607929515418508,1.655,1.606,-2.9607250755286967,41.08590689623759,38.587550054605025,-6.080812206341609,17,17,3197,3182,10977,10988,1,,16.64833149981665,71.00473243538406,-1.012353773993066,71026.500006,71026.500009,4.2237668185764854e-11,1.130101000002469,gap,gap,21.145374449339215
intermodal_path_tree,intermodal,BUS-2632-0,tree,mosek,1.0,1,1,1.461,1.395,-4.517453798767971,0.507,0.453,-10.650887573964496,0.298,0.294,-1.342281879194632,31.412639405204462,33.55555555555556,6.8218277449046685,22,22,3213,3200,16140,13500,1,,34.70225872689939,76.27407407407408,2.367328313940224,71026.501725,71026.500447,1.7993283704713378e-08,3.480587000012747,gap,gap,
intermodal_path_tree,intermodal,BUS-7896-0,path,copt-cpu,1.0,1,1,2.554,2.523,-1.2137823022709358,1.291,1.269,-1.7041053446940373,0.354,0.36,1.6949152542372898,32.07214369115346,31.458390143533553,-1.913665495921301,18,18,9218,9208,40253,40339,1,,50.54815974941269,77.15114405414116,-0.9673226919476899,210596.500231,210594.5,9.497930866936041e-06,13.356828999996651,gap,gap,
intermodal_path_tree,intermodal,BUS-7896-0,path,copt-gpu,1.0,1,1,3.573,3.508,-1.8191995521970319,1.285,1.269,-1.2451361867704291,1.361,1.329,-2.3512123438648076,31.923086478026484,31.458390143533553,-1.4556748289761834,18,18,9218,9208,40253,40339,1,,35.964175762664425,77.16849698802648,-0.5235214540258594,210596.5,210593.001633,1.6611705322704167e-05,13.234651000006124,gap,gap,
intermodal_path_tree,intermodal,BUS-7896-0,path,cuopt,1.0,1,1,4.724,4.176,-11.600338696020323,1.119,1.057,-5.540661304736377,2.715,2.221,-18.195211786372,34.42229605020303,32.62043637934759,-5.2345714191392965,17,17,9104,9093,32508,32403,1,,23.687552921253175,71.89766379656204,-1.2399418751094142,210595.501182,210595.501222,1.8993750679902298e-10,7.811433000024408,gap,gap,
intermodal_path_tree,intermodal,BUS-7896-0,path,highs,1.0,3,1,8.496,7.833,-7.8036723163841835,1.115,1.044,-6.367713004484301,6.592,6.033,-8.47997572815533,33.81494005533354,32.17455621301775,-4.851062399139317,15,14,9112,9094,32539,32448,1,,13.12382297551789,71.91198224852072,-0.636644841694955,210592.000083,210594.000144,9.497326580357017e-06,5.71533500001533,gap,gap,34.260089686098645
intermodal_path_tree,intermodal,BUS-7896-0,path,mosek,1.0,1,1,2.652,1.997,-24.69834087481146,1.275,0.96,-24.705882352941174,0.655,0.482,-26.41221374045802,31.741684923322047,29.724122983558843,-6.356190431090855,14,11,9163,9116,40168,32297,1,,48.076923076923066,71.72492801188965,-3.055860784178295,210592.000085,210594.004879,9.519801318043376e-06,9.10068199998932,gap,gap,
intermodal_path_tree,intermodal,BUS-7896-0,tree,copt-cpu,1.0,1,1,2.411,2.656,10.161758606387396,1.282,1.272,-0.7800312012480506,0.304,0.359,18.092105263157894,31.794057834432817,31.583651983910215,-0.6617772780633646,16,20,9168,9271,40322,40274,1,,53.17295727913728,76.92059393156876,-0.3518865493476704,210593.501491,210595.000061,7.115936576324747e-06,14.621271000010893,gap,gap,
intermodal_path_tree,intermodal,BUS-7896-0,tree,copt-gpu,1.0,1,1,3.207,3.66,14.125350795135649,1.266,1.325,4.660347551342808,1.112,1.28,15.107913669064741,31.397252120430533,32.89963748323981,4.785085513364579,16,20,9168,9271,40322,40274,1,,39.476145930776426,76.92059393156876,1.8889673401682436,210593.501491,210595.000061,7.115936576324747e-06,14.621271000010893,gap,gap,
intermodal_path_tree,intermodal,BUS-7896-0,tree,cuopt,1.0,1,1,4.681,4.139,-11.57872249519333,1.097,1.064,-3.0082041932543224,2.642,2.133,-19.26570779712339,33.74761582477081,32.838492639116076,-2.6938886301634297,17,17,9102,9091,32506,32401,1,,23.435163426618246,71.90210178698189,-0.6313172030098874,210595.509752,210595.508469,6.092247746035365e-09,7.84681799999089,gap,gap,
intermodal_path_tree,intermodal,BUS-7896-0,tree,highs,1.0,3,1,6.397,6.406,0.14069094888228,1.082,1.079,-0.27726432532348555,4.469,4.477,0.17901096442157097,33.26978660598979,33.34672559260747,0.23125783020148602,15,15,9104,9109,32522,32357,1,,16.914178521181803,71.80208301140402,0.03911536224449083,210593.500231,210598.500042,2.374152570949557e-05,10.61294099999941,gap,gap,32.53234750462108
intermodal_path_tree,intermodal,BUS-7896-0,tree,mosek,1.0,1,1,2.669,2.728,2.210565754964412,1.089,1.087,-0.18365472910927474,0.687,0.7,1.892285298398821,33.581053994881124,33.49149617944294,-0.26669149649631413,17,18,9102,9151,32429,32456,1,,40.80179842637692,71.7925807246734,-0.10881492682071416,210593.000449,210593.518273,2.458885142794039e-06,11.61727799999062,gap,gap,
intermodal_path_tree,intermodal,SBT-18765-0,path,copt-cpu,1.0,1,1,10.054,7.407,-26.327829719514625,8.736,6.386,-26.900183150183153,0.207,0.165,-20.289855072463762,115.3191208501089,112.03901891294431,-2.8443695312488937,9,7,19687,19676,75755,56998,1,,86.89078973542868,65.46019158566968,-2.4714951486960746,481107.500187,481113.000947,1.1433536159440827e-05,27.968763999990188,gap,gap,
intermodal_path_tree,intermodal,SBT-18765-0,path,copt-gpu,1.0,1,1,10.407,7.884,-24.24329778034015,8.581,6.389,-25.54480829740123,0.756,0.645,-14.68253968253968,113.27305128374364,112.09165233867856,-1.0429655877334276,9,7,19687,19676,75755,56998,1,,82.45411742096665,65.46019158566968,-0.8599680703699955,481107.500187,481113.000947,1.1433536159440827e-05,27.968763999990188,gap,gap,
intermodal_path_tree,intermodal,SBT-18765-0,path,cuopt,1.0,1,1,9.092,8.905,-2.056753189617259,6.736,6.515,-3.2808788598574834,1.472,1.519,3.192934782608691,118.17958524860522,114.30225621951648,-3.2808788598574834,7,7,19656,19656,56998,56998,0,,74.08710954685438,65.49878943120811,-2.430708315002201,481112.056827,481112.056827,0.0,33.367605999985244,gap,gap,
