sweep,family,instance,formulation,solver,arm,rep,commodities,sources,per_source,iterations,columns,objective,lower_bound,optimal,exit,t_tot,t_lp,t_pr,t_sp,bounded_enabled,cut,priced,cut_rate_pct,per_price_us
intermodal_path_tree,intermodal,BUS-18424-0,tree,highs,off,rep1,18388,18388,1.0,17,21165,485029.00065,484988.058419,1,gap,20.982,15.606,3.777,1.582,0,0,76100,0.0,49.632063074901446
intermodal_path_tree,intermodal,BUS-18424-0,tree,highs,off,rep2,18388,18388,1.0,19,21339,485025.500495,484993.530098,1,gap,22.705,16.593,4.344,1.75,0,0,94523,0.0,45.95706864995821
intermodal_path_tree,intermodal,BUS-18424-0,tree,highs,off,rep3,18388,18388,1.0,17,21165,485029.000241,484988.076225,1,gap,20.35,15.19,3.536,1.607,0,0,76100,0.0,46.465177398160314
intermodal_path_tree,intermodal,BUS-18424-0,tree,highs,on,rep1,18388,18388,1.0,26,20983,485025.5003,485023.643427,1,gap,29.789,22.972,4.354,2.439,1,73905,94889,77.88574018063211,45.88519217190612
intermodal_path_tree,intermodal,BUS-18424-0,tree,mosek,off,rep1,18388,18388,1.0,18,20952,485025.499095,484993.503698,1,gap,7.929,1.587,4.576,1.741,0,0,94851,0.0,48.24408809606646
intermodal_path_tree,intermodal,BUS-18424-0,tree,mosek,on,rep1,18388,18388,1.0,20,20937,485027.498741,485018.498972,1,gap,7.125,1.685,3.52,1.897,1,55314,76263,72.53058494945124,46.15606519544209
intermodal_path_tree,intermodal,BUS-23688-0,path,copt-cpu,off,rep1,23643,23643,1.0,29,27821,624881.500288,624839.827708,1,gap,11.501,1.426,6.776,3.263,0,0,121126,0.0,55.941746610967094
intermodal_path_tree,intermodal,BUS-23688-0,path,copt-cpu,on,rep1,23643,23643,1.0,19,27530,624896.505289,624842.223375,1,gap,8.277,0.918,5.224,2.11,1,69511,97081,71.60103418794615,53.8107353653135
intermodal_path_tree,intermodal,BUS-23688-0,path,copt-gpu,off,rep1,23643,23643,1.0,29,27821,624881.500288,624839.827708,1,gap,13.217,3.195,6.795,3.192,0,0,121126,0.0,56.09860806102736
intermodal_path_tree,intermodal,BUS-23688-0,path,copt-gpu,on,rep1,23643,23643,1.0,19,27530,624896.500001,624842.336681,1,gap,9.515,2.076,5.295,2.12,1,69510,97081,71.6000041202707,54.54208341488036
