sweep,family,instance,formulation,solver,per_source,reps_off,reps_on,t_tot_off,t_tot_on,d_t_tot_pct,t_pr_off,t_pr_on,d_t_pr_pct,per_price_us_off,per_price_us_on,d_per_price_pct,iters_off,iters_on,cols_off,cols_on,priced_off,priced_on,traj_moved,traj_stable,pricing_share_pct,cut_rate_pct,pred_wall_pct,obj_off,obj_on,d_obj_rel,lb_delta,exit_off,exit_on,spread_off_pct
intermodal_tree,intermodal,BUS-7896-0,tree,copt-gpu,1.0,2,2,4.995,5.951,19.13913913913913,1.2545,1.2839999999999998,2.351534475886796,31.112048013491396,31.8816109648905,2.473520711543611,16,20,9168,9271,40322,40274,1,1,25.115115115115113,76.92059393156876,0.6212275741003923,210593.501491,210595.000061,7.115936576324747e-06,14.621271000010893,gap,gap,3.2682343563172522
intermodal_tree,intermodal,SBT-18765-0,tree,copt-cpu,1.0,3,3,9.459,7.161,-24.29432286711069,8.173,6.155,-24.69105591582038,107.88726816711768,107.98624513140813,0.09174109788110293,9,7,19686,19675,75755,56998,1,1,86.40448250343589,65.46194603319415,0.07926842086713758,481107.5,481113.000002,1.1431960632530628e-05,28.322397999989334,gap,gap,0.6240058729964536
intermodal_tree,intermodal,SBT-18765-0,tree,copt-gpu,1.0,2,2,11.189,8.3345,-25.51166324068281,8.3505,6.0725,-27.27980360457458,110.23034783182626,106.53882592371662,-3.3489161385407646,9,7,19686,19675,75755,56998,1,1,74.63133434623292,65.46194603319415,-2.499340800329311,481107.5,481113.000002,1.1431960632530628e-05,28.322397999989334,gap,gap,0.08382731572959311
intermodal_tree,intermodal,SBT-31275-0,tree,copt-cpu,1.0,3,3,20.87,20.399,-2.2568279827503597,19.514,19.042,-2.418776263195643,154.4537841731174,150.7178927039306,-2.418776263195655,6,6,32538,32538,126342,126342,0,1,93.50263536176328,74.24609393550838,-2.261619549592717,801323.0,801323.0,0.0,55.156608999939635,gap,gap,1.4553653787024827
intermodal_tree,intermodal,SBT-31275-0,tree,copt-gpu,1.0,2,2,22.0105,21.5735,-1.9854160514300045,19.560499999999998,19.1145,-2.280105314281322,154.82183280302672,151.29173196561715,-2.2801053142813363,6,6,32538,32538,126342,126342,0,1,88.86894891074714,74.24609393550838,-2.0263056268599113,801323.0,801323.0,0.0,55.156608999939635,gap,gap,1.7842079701439137
intermodal_tree,intermodal,SBT-43785-0,tree,copt-cpu,1.0,3,3,29.399,28.687,-2.4218510833701816,27.43,26.701,-2.6576740794750244,205.7980583107003,200.32861665891392,-2.6576740794750267,6,6,45730,45730,133286,133286,0,1,93.30249328208443,65.68956979727804,-2.479676179461886,1123600.000001,1123600.000001,0.0,76.81716099986807,gap,gap,1.0791104629967168
intermodal_tree,intermodal,SBT-43785-0,tree,copt-gpu,1.0,2,2,30.212,29.932000000000002,-0.9267840593141718,27.174,26.8465,-1.2051961433723433,203.87737646864636,201.42025419023753,-1.2051961433723397,6,6,45730,45730,133286,133286,0,1,89.94439295644115,65.68956979727804,-1.084006355090691,1123600.000001,1123600.000001,0.0,76.81716099986807,gap,gap,0.3753587988518448
intermodal_tree,intermodal,SBT-56295-0,tree,copt-cpu,1.0,3,3,48.842,48.022,-1.678882928627002,44.882,44.055,-1.8426095093801484,261.9317187044062,257.5065903684177,-1.6894205703213594,10,10,58750,58750,171350,171083,0,1,91.89222390565497,65.64240748642472,-1.5524461331878967,1447869.0,1447869.0,0.0,98.31825100001879,gap,gap,1.4549262510583278
intermodal_tree,intermodal,SBT-56295-0,tree,copt-gpu,1.0,2,2,51.046499999999995,49.5685,-2.8953992928016508,45.4025,43.914,-3.278453829634936,264.9693609571053,256.682428996452,-3.127505735274366,10,10,58750,58750,171350,171083,0,1,88.9434143379076,65.64240748642472,-2.7817103845669027,1447869.0,1447869.0,0.0,98.31825100001879,gap,gap,0.3546060238973498
intermodal_tree,intermodal,SBT-6255-0,tree,copt-cpu,1.0,3,3,1.862,1.82,-2.2556390977443628,1.322,1.282,-3.0257186081694427,68.98351074932164,66.89626382801086,-3.025718608169423,8,8,6747,6747,19164,19164,0,1,70.99892588614394,64.78814443748695,-2.1482277121374747,160606.000003,160606.000003,0.0,11.244902999984333,gap,gap,3.328290468986387
intermodal_tree,intermodal,SBT-6255-0,tree,copt-gpu,1.0,2,2,3.2045000000000003,3.1335,-2.215634264315811,1.2730000000000001,1.2755,0.19638648860957944,66.42663327071593,66.55708620329784,0.1963864886095732,8,8,6747,6747,19164,19164,0,1,39.72538617569043,64.78814443748695,0.07801529099703125,160606.000003,160606.000003,0.0,11.244902999984333,gap,gap,3.927729772191676
transportation_tree,transportation,Barcelona,tree,copt-gpu,81.6701030927835,3,3,6.499,6.359,-2.154177565779346,0.044,0.045,2.2727272727272747,12.313860252004583,12.88659793814433,4.651162790697672,33,33,268,288,3492,3492,1,0,0.6770272349592245,46.83755920869323,0.03148963883531275,243.518401,243.518086,1.293536745917239e-06,-0.023918000000008988,priced-out,priced-out,4.545454545454549
transportation_tree,transportation,BerlinCenter,tree,copt-gpu,57.442774566473986,3,3,14.995,14.676,-2.1273757919306373,1.644,1.5,-8.759124087591236,51.316634553628774,48.16955684007707,-6.132665832290365,32,32,5248,5287,31140,31140,1,0,10.963654551517171,29.91329479768786,-0.6723642966512411,27529397.330739,27529426.807252,1.0707285977944267e-06,-37.0045799985528,gap,gap,4.1970802919708
