sweep,family,instance,formulation,solver,arm,rep,commodities,sources,per_source,iterations,columns,objective,lower_bound,optimal,exit,t_tot,t_lp,t_pr,t_sp,bounded_enabled,cut,priced,cut_rate_pct,per_price_us
gridplanar_path_tree,grid,grid13,tree,copt-gpu,off,rep2,12000,900,13.333333333333334,28,7078,1159321068.02625,1159317850.274221,1,gap,11.395,10.909,0.247,0.035,0,0,31500,0.0,7.841269841269841
gridplanar_path_tree,grid,grid13,tree,copt-gpu,off,rep3,12000,900,13.333333333333334,26,7075,1159326651.47666,1159294177.259353,1,gap,10.442,10.008,0.22,0.031,0,0,29700,0.0,7.407407407407407
gridplanar_path_tree,grid,grid13,tree,copt-gpu,on,rep1,12000,900,13.333333333333334,29,6878,1159320954.553179,1159319702.674178,1,gap,11.735,11.283,0.198,0.037,1,11806,32400,36.43827160493827,6.111111111111111
gridplanar_path_tree,grid,grid13,tree,copt-gpu,on,rep2,12000,900,13.333333333333334,26,7031,1159323403.745938,1159307423.087292,1,gap,10.359,9.98,0.165,0.03,1,10958,29700,36.89562289562289,5.555555555555555
gridplanar_path_tree,grid,grid13,tree,copt-gpu,on,rep3,12000,900,13.333333333333334,28,6984,1159320971.76129,1159319553.17241,1,gap,11.459,11.028,0.193,0.035,1,11248,31500,35.70793650793651,6.126984126984127
gridplanar_path_tree,grid,grid14,path,copt-gpu,off,rep1,16000,1225,13.061224489795919,10,46854,1802673131.43533,1802670185.34707,1,gap,5.991,5.689,0.16,0.042,0,0,14700,0.0,10.884353741496598
gridplanar_path_tree,grid,grid14,path,copt-gpu,off,rep2,16000,1225,13.061224489795919,10,46854,1802673131.435334,1802670185.34707,1,gap,5.974,5.665,0.181,0.039,0,0,14700,0.0,12.312925170068027
gridplanar_path_tree,grid,grid14,path,copt-gpu,off,rep3,16000,1225,13.061224489795919,10,46854,1802673131.435319,1802670185.34707,1,gap,6.001,5.721,0.153,0.038,0,0,14700,0.0,10.408163265306122
gridplanar_path_tree,grid,grid14,path,copt-gpu,on,rep1,16000,1225,13.061224489795919,10,46854,1802673131.435332,1802670448.609177,1,gap,6.014,5.715,0.169,0.04,1,6889,14700,46.863945578231295,11.496598639455783
gridplanar_path_tree,grid,grid14,path,copt-gpu,on,rep2,16000,1225,13.061224489795919,10,46854,1802673131.435352,1802670448.609177,1,gap,6.061,5.761,0.162,0.041,1,6889,14700,46.863945578231295,11.020408163265307
gridplanar_path_tree,grid,grid14,path,copt-gpu,on,rep3,16000,1225,13.061224489795919,10,46854,1802673131.435339,1802670448.609177,1,gap,5.954,5.67,0.154,0.039,1,6889,14700,46.863945578231295,10.476190476190476
gridplanar_path_tree,grid,grid14,tree,copt-gpu,off,rep1,16000,1225,13.061224489795919,23,8191,1802673023.014167,1802670368.261919,1,gap,9.422,8.805,0.363,0.042,0,0,36750,0.0,9.877551020408163
gridplanar_path_tree,grid,grid14,tree,copt-gpu,off,rep2,16000,1225,13.061224489795919,20,8957,1802780164.182646,1802619443.481214,1,gap,7.223,6.712,0.339,0.037,0,0,33075,0.0,10.249433106575964
