sweep,family,instance,formulation,solver,per_source,reps_off,reps_on,t_tot_off,t_tot_on,d_t_tot_pct,t_pr_off,t_pr_on,d_t_pr_pct,t_lp_off,t_lp_on,d_t_lp_pct,per_price_us_off,per_price_us_on,d_per_price_pct,iters_off,iters_on,cols_off,cols_on,priced_off,priced_on,traj_moved,traj_stable,pricing_share_pct,fire_rate_pct,pred_wall_pct,obj_off,obj_on,d_obj_rel,lb_delta,exit_off,exit_on,spread_off_pct,spread_per_price_off_pct
gridplanar_path_tree,grid,grid14,path,copt-gpu,13.061224489795919,3,3,4.688,4.774,1.8344709897610987,0.14,0.144,2.8571428571428394,4.422,4.492,1.5829941203075597,9.591836734693878,9.795918367346937,2.127659574468064,10,10,46854,46854,14700,14700,0,1,2.986348122866895,46.863945578231295,0.0635393217631248,1802673131.435314,1802673131.435323,5.025817408531379e-15,263.26210713386536,gap,gap,2.1428571428571246,2.1428571428571406
gridplanar_path_tree,grid,grid14,tree,copt-gpu,13.061224489795919,3,3,4.705,5.571,18.40595111583421,0.322,0.266,-17.391304347826086,4.218,5.093,20.74442863916548,9.517406962785113,7.115027829313544,-25.24195027979084,20,23,8933,8187,33075,36750,1,0,6.843783209351754,47.312401883830454,-1.7275043549612434,1802695965.564935,1802673084.768816,1.2692543033347403e-05,51648.38602685928,gap,gap,10.248447204968935,5.122742949888419
gridplanar_path_tree,grid,grid15,path,copt-gpu,26.122448979591837,3,3,9.973,9.984,0.11029780407098397,0.181,0.184,1.6574585635359131,9.407,9.41,0.03189114489210283,11.177394034536892,11.554160125588696,3.3707865168539226,11,11,81874,81874,15925,15925,0,1,1.814900230622681,45.81475667189953,0.061176412268180075,3593521818.095497,3593521818.09553,9.155854780214741e-15,300.41844415664673,gap,gap,4.972375690607739,4.972375690607744
gridplanar_path_tree,grid,grid15,tree,copt-gpu,26.122448979591837,3,3,8.726,8.728,0.022920009167990963,0.391,0.301,-23.017902813299237,7.951,8.057,1.3331656395422056,10.129112869637652,7.523669261519039,-25.722327726532843,25,25,9535,9521,39200,39200,1,0,4.480861792344717,37.63775510204081,-1.1525819551999017,3593685526.129823,3593652743.141678,9.122386448949154e-06,51406.59543323517,gap,gap,12.020460358056262,5.46111027531217
gridplanar_path_tree,grid,grid2,path,copt-gpu,4.0,3,3,0.445,0.446,0.2247191011235957,0.002,0.002,0.0,0.441,0.443,0.45351473922902535,7.2727272727272725,7.2727272727272725,0.0,8,8,233,233,275,275,0,1,0.44943820224719105,68.0,0.0,1705378.0,1705378.0,0.0,0.7426810001488775,gap,gap,0.0,0.0
gridplanar_path_tree,grid,grid2,tree,copt-gpu,4.0,3,3,0.637,0.634,-0.4709576138147571,0.003,0.003,0.0,0.633,0.629,-0.6319115323854666,6.000000000000001,6.000000000000001,0.0,14,14,150,150,500,500,0,1,0.47095761381475665,64.8,0.0,1705375.0,1705375.0,0.0,0.7426810001488775,gap,gap,0.0,0.0
gridplanar_path_tree,grid,grid3,path,copt-gpu,1.25,3,3,0.424,0.395,-6.839622641509426,0.002,0.002,0.0,0.421,0.393,-6.650831353919234,3.8461538461538463,4.545454545454546,18.18181818181819,8,7,90,88,520,440,1,1,0.47169811320754723,83.18181818181819,0.08576329331046317,1524642.001492,1524748.0,6.952353922843445e-05,-44.56440700008534,gap,gap,0.0,0.0
gridplanar_path_tree,grid,grid3,tree,copt-gpu,1.25,3,3,0.449,0.448,-0.22271714922049016,0.002,0.003,50.0,0.446,0.445,-0.2242152466367715,3.5714285714285716,4.761904761904762,33.33333333333332,9,9,82,82,560,560,0,1,0.44543429844098,85.17857142857143,0.14847809948032661,1524730.000006,1524730.000006,0.0,1.4357880000025034,gap,gap,0.0,0.0
gridplanar_path_tree,grid,grid4,path,copt-gpu,1.5873015873015872,3,3,0.465,0.466,0.21505376344086038,0.002,0.002,0.0,0.462,0.463,0.21645021645021664,3.0864197530864197,2.6455026455026456,-14.285714285714281,8,8,237,237,756,756,0,1,0.43010752688172044,78.83597883597884,-0.061443932411674326,3031695.001622,3031695.001622,0.0,2.4897819999605417,gap,gap,50.0,50.0
gridplanar_path_tree,grid,grid4,tree,copt-gpu,1.5873015873015872,3,3,0.584,0.583,-0.17123287671232892,0.003,0.003,0.0,0.579,0.579,0.0,2.8011204481792724,2.8011204481792724,0.0,12,12,220,220,1071,1071,0,1,0.5136986301369864,78.99159663865547,0.0,3031712.000015,3031712.000015,0.0,2.4346260000020266,gap,gap,0.0,0.0
